Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,week,year,weeks
2022-01-01,23.8,28.5,25.6,91.0,8.0,0.0,4.0,260.0,2.0,8,52,2022,2021-12-27
2022-02-01,24.6,26.5,25.2,92.0,3.5,4.5,3.0,250.0,1.0,8,52,2022,2022-01-31
2022-03-01,24.0,29.9,27.1,83.0,11.6,5.3,6.0,350.0,3.0,8,1,2022,2022-02-28
2022-04-01,24.9,30.4,27.5,84.0,0.0,8.6,4.0,360.0,2.0,8,1,2022,2022-03-28
2022-05-01,23.3,30.1,26.6,82.0,17.1,6.2,4.0,350.0,2.0,8,1,2022,2022-04-25
2022-06-01,23.9,30.8,28.0,80.0,213.02238562091503,9.7,4.0,350.0,2.0,7,1,2022,2022-05-30
2022-07-01,25.2,31.3,28.0,76.0,213.02238562091503,8.8,3.0,20.0,2.0,2,1,2022,2022-06-27
2022-08-01,25.4,31.7,28.4,80.0,0.0,5.5,4.0,10.0,2.0,8,1,2022,2022-08-01
2022-09-01,25.8,30.4,27.7,82.0,0.0,9.4,4.0,330.0,2.0,8,1,2022,2022-08-29
2022-10-01,25.8,29.7,27.6,80.0,0.0,3.6,3.0,230.0,2.0,8,2,2022,2022-09-26
2022-11-01,25.1,31.2,27.5,77.0,0.0,9.3,3.0,30.0,2.0,7,2,2022,2022-10-31
2022-12-01,24.9,31.4,27.8,78.0,0.0,9.2,5.0,30.0,2.0,3,2,2022,2022-11-28
2022-01-13,25.4,31.6,28.3,76.0,0.0,11.6,4.0,40.0,2.0,3,2,2022,2022-01-10
2022-01-14,25.3,31.4,27.8,76.0,0.0,9.9,4.0,30.0,2.0,8,2,2022,2022-01-10
2022-01-15,25.2,31.4,28.1,77.0,0.0,10.6,4.0,20.0,2.0,2,2,2022,2022-01-10
2022-01-16,25.4,31.8,28.9,76.0,0.0,10.8,4.0,40.0,2.0,3,2,2022,2022-01-10
2022-01-17,26.2,30.8,27.9,80.0,0.0,10.0,4.0,240.0,2.0,2,3,2022,2022-01-17
2022-01-18,23.9,30.5,26.7,83.0,28.8,4.4,5.0,240.0,4.0,8,3,2022,2022-01-17
2022-01-19,24.1,31.2,27.9,73.0,0.0,2.5,4.0,360.0,2.0,7,3,2022,2022-01-17
2022-01-20,25.5,31.3,28.3,78.0,0.0,6.5,7.0,40.0,3.0,3,3,2022,2022-01-17
2022-01-21,25.0,31.7,27.9,78.0,0.3,10.4,3.0,10.0,2.0,2,3,2022,2022-01-17
2022-01-22,25.0,31.2,27.6,79.0,2.4,10.1,4.0,40.0,2.0,0,3,2022,2022-01-17
2022-01-23,25.2,31.2,28.0,77.0,0.0,3.9,6.0,40.0,3.0,3,3,2022,2022-01-17
2022-01-24,25.2,31.4,27.8,80.0,2.2,8.6,5.0,190.0,2.0,7,4,2022,2022-01-24
2022-01-25,25.3,31.0,27.7,81.0,24.1,8.9,4.0,210.0,2.0,7,4,2022,2022-01-24
2022-01-26,25.0,28.9,26.5,84.0,0.3,2.8,4.0,90.0,2.0,0,4,2022,2022-01-24
2022-01-27,25.2,31.8,28.7,82.0,0.0,0.0,5.0,40.0,2.0,3,4,2022,2022-01-24
2022-01-28,24.7,31.4,27.6,80.0,0.0,8.9,6.0,70.0,3.0,3,4,2022,2022-01-24
2022-01-29,24.7,32.4,28.5,79.0,0.0,11.0,6.0,30.0,3.0,3,4,2022,2022-01-24
2022-01-30,25.8,32.1,28.7,75.0,0.0,10.7,4.0,20.0,2.0,2,4,2022,2022-01-24
2022-01-31,25.5,31.7,28.0,77.0,0.9,7.6,3.0,350.0,2.0,7,5,2022,2022-01-31
2022-01-02,25.5,32.0,28.3,78.0,0.0,9.8,9.0,10.0,3.0,7,5,2022,2021-12-27
2022-02-02,25.6,31.1,28.0,80.0,0.0,9.4,4.0,10.0,2.0,2,5,2022,2022-01-31
2022-03-02,25.4,31.7,28.0,76.0,0.0,1.6,4.0,350.0,2.0,2,5,2022,2022-02-28
2022-04-02,25.4,30.5,27.9,78.0,0.0,9.3,6.0,10.0,2.0,2,5,2022,2022-03-28
2022-05-02,25.2,31.3,27.7,82.0,5.1,6.2,4.0,20.0,2.0,7,5,2022,2022-05-02
2022-06-02,25.2,31.9,28.0,78.0,0.0,4.3,5.0,70.0,3.0,1,5,2022,2022-05-30
2022-07-02,25.4,30.8,28.5,78.0,0.0,7.7,7.0,340.0,3.0,8,6,2022,2022-06-27
2022-08-02,25.9,30.8,27.9,80.0,0.0,8.7,4.0,240.0,2.0,8,6,2022,2022-08-01
2022-09-02,25.6,31.8,28.0,78.0,2.4,2.6,6.0,30.0,2.0,7,6,2022,2022-08-29
2022-10-02,25.4,29.3,26.1,85.0,2.6,9.4,6.0,300.0,2.0,8,6,2022,2022-09-26
2022-11-02,24.5,31.2,27.2,80.0,5.1,6.3,4.0,20.0,2.0,0,6,2022,2022-10-31
2022-12-02,24.5,31.0,27.6,81.0,14.9,3.8,5.0,360.0,3.0,2,6,2022,2022-11-28
2022-02-13,25.0,31.7,28.0,76.0,0.0,3.7,3.0,20.0,2.0,7,6,2022,2022-02-07
2022-02-14,25.3,31.7,28.1,78.0,0.0,10.0,5.0,20.0,3.0,3,7,2022,2022-02-14
2022-02-15,23.6,30.6,26.0,88.0,44.2,9.8,6.0,70.0,2.0,6,7,2022,2022-02-14
2022-02-16,24.1,31.3,27.5,84.0,20.7,8.1,7.0,80.0,3.0,1,7,2022,2022-02-14
2022-02-17,24.8,30.0,27.1,84.0,22.2,6.4,5.0,80.0,2.0,6,7,2022,2022-02-14
2022-02-18,25.0,31.8,28.9,79.0,0.1,10.1,7.0,80.0,4.0,1,7,2022,2022-02-14
2022-02-19,25.9,31.3,28.2,78.0,4.2,10.9,5.0,50.0,3.0,3,7,2022,2022-02-14
2022-02-20,25.9,31.8,28.9,80.0,0.0,10.6,4.0,360.0,2.0,7,7,2022,2022-02-14
